"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"These pieces are brilliant. Technologist Patrick Proctor is here showing off his illuminating art/tech installations https://t.co/PrmrHL2FwP",FALSE,1,NA,2016-09-28 16:32:47,FALSE,NA,"781169796385767425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"If you're at #NYCML16 today, say hello to our publishing team at the Demo Expo, they'll be talking about #edtech innovations in @NLTTC",FALSE,1,NA,2016-09-22 13:45:29,FALSE,NA,"778953366659629056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",3,FALSE,FALSE,NA,NA
"Glad to have @BenVilla4Real here today, talking about how @TC_GWC is re-imagining graduate writing for the future https://t.co/n136ZF61c3",FALSE,4,NA,2016-09-14 16:54:10,FALSE,NA,"776101746305294337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"Fantastic design thinking happening in the Learning Theater, school leaders overcoming barriers to #edtech https://t.co/C1CO5mDqAF",FALSE,3,NA,2016-08-04 17:49:01,FALSE,NA,"761257646519443456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"Today we're identifying the biggest challenges to #edtech research, @bhghs takes on the design challenge with gusto https://t.co/Br0HSJirJk",FALSE,4,NA,2016-07-26 16:08:07,FALSE,NA,"757970765073481728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"The Melting Pot, interactive installation on continuity, designed by our Summer interns for the Learning Theater https://t.co/r7tAnSIfNF",FALSE,4,NA,2016-07-20 20:20:43,FALSE,NA,"755860005061070848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"@cinehead Thanks for your interest! We're still prototyping it; will post more details on programming in the future.",FALSE,1,"cinehead",2016-07-07 15:43:33,FALSE,"751066831276814336","751079212535119872","45679047","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"The team takes big notes after watching Seen in New York episodes on racial and social justice #ed4em #edtech https://t.co/MMFvPu8Pir",FALSE,4,NA,2016-07-06 20:52:01,FALSE,NA,"750794455502950400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",3,FALSE,FALSE,NA,NA
"Seen in New York episodes look larger than life in the new Learning Theater @NLTTC #ed4em #edtech https://t.co/NgTeaYUGCl",FALSE,2,NA,2016-07-06 20:32:33,FALSE,NA,"750789556363026434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"Interns showcasing new ideas for engaging with learning content  @NLTTC #ED4EM #edtech https://t.co/Q2VkX16Fqb",FALSE,1,NA,2016-07-06 20:13:55,FALSE,NA,"750784863876382721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"The EdLab team calculates creative jobs for robotic colleagues in learning spaces https://t.co/b0f3uB3nei",FALSE,7,NA,2016-05-18 17:45:54,FALSE,NA,"732990610651656192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"When you crowdsource everyone's favorite robots during a seminar #edtech #robotics https://t.co/kCaRWl6irF",FALSE,1,NA,2016-05-18 16:40:08,FALSE,NA,"732974059324067840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"At today's seminar @cfl2004 explores how robots will enhance learning and data collection in our space https://t.co/hk8b5oIkCc",FALSE,1,NA,2016-05-18 16:17:05,FALSE,NA,"732968258614218752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"Dr. Natriello on the future of publishing: libraries as content creators, not just distributors. #EditLab @LibraryTC https://t.co/vuztyXC3dj",FALSE,4,NA,2016-05-04 20:19:13,FALSE,NA,"727955764950802433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"The publishing team gets ready to show off at this week's seminar #EditLab https://t.co/UW6e9tpl5K",FALSE,3,NA,2016-05-02 17:43:26,FALSE,NA,"727191781901742080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"Abby the therapy dog and @JordynBlakely spend some QT together at @LibraryTC https://t.co/JizzZtaPNK",FALSE,5,NA,2016-04-28 19:19:33,FALSE,NA,"725766422228549632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"When everyone comes together for a potluck lunch https://t.co/C2fHwvrj40",FALSE,5,NA,2016-04-22 19:50:11,FALSE,NA,"723599801498083328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",3,FALSE,FALSE,NA,NA
"Many thanks to David Krishock from @ImgPlayground for the engaging and hands-on seminar on the importance of play! https://t.co/TUQ2QDKZt7",FALSE,5,NA,2016-04-20 18:30:00,FALSE,NA,"722854850225004546",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"Our video team, ready to interview outstanding researchers #AERA16. Catch all our episodes: https://t.co/vqM7wTNIOO https://t.co/jmnkVTkOaC",FALSE,4,NA,2016-04-11 17:28:35,FALSE,NA,"719577902703120384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",1,FALSE,FALSE,NA,NA
"The pressure is on the publishing team to write the wittiest @NLTTC Visualized captions https://t.co/A0hXhmU9wo",FALSE,0,NA,2016-04-07 17:59:02,FALSE,NA,"718136014636773377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"Mike Tissenbaum speaking on how we learn through tinkering in collaborative spaces at @EdLabTC https://t.co/jFZlPtI0an",FALSE,1,NA,2016-04-06 16:58:58,FALSE,NA,"717758510088515584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"EdLab staff presenting the @TeachersCollege #LearningTheater at the 
@Plan4HigherEd Conference. Standing room only. https://t.co/pkghHD1afL",FALSE,9,NA,2016-03-22 14:52:39,FALSE,NA,"712290901402513408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",4,FALSE,FALSE,NA,NA
"@ryanhanwu, looking straight up bamboozled? https://t.co/CHhrRa4eJM",FALSE,2,"ryanhanwu",2016-03-21 19:00:43,FALSE,NA,"711990942174224384","14339697","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",2,FALSE,FALSE,NA,NA
"@elearn4KoC Thanks for the suggestion. How many students were you thinking?",FALSE,0,"elearn4KoC",2015-04-23 21:05:04,FALSE,"591345568602951680","591347077873016833","1340579576","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",0,FALSE,FALSE,NA,NA
"@Emily_EasyBib Hi! Was it @TigglyKids? https://t.co/ZV4uSzrFja",FALSE,1,"edtechjam",2014-12-22 21:57:00,FALSE,"545375175366041600","547148826415734784","563920902","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdLabTC",0,FALSE,FALSE,NA,NA
