"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Calling all artists who love education: Apply to the EdLab Art Commission by March! https://t.co/wcInkickeV #artcall #artcompetitions #maker",FALSE,3,NA,2017-01-24 15:17:20,FALSE,NA,"823912575654068226",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",1,FALSE,FALSE,NA,NA
"One more week! New art coming for the new semester! #publicart https://t.co/rGyvDqi26Z",FALSE,2,NA,2017-01-03 20:40:21,FALSE,NA,"816383721582399488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",1,FALSE,FALSE,NA,NA
"It's shaping up to be an exciting year! https://t.co/eKEH74veF7",FALSE,1,NA,2017-01-03 18:55:49,FALSE,NA,"816357414886920192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Congratulations on finishing finals, TC! The library team wishes you a happy and healthy winter break.",FALSE,2,NA,2016-12-23 01:58:46,FALSE,NA,"812115200916783105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"We're excited for upCREATION! https://t.co/NbdCBxMv6j",FALSE,0,NA,2016-10-25 17:16:07,FALSE,NA,"790965172533923840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Multimedia work in libraries! https://t.co/dbEQex9zJL",FALSE,1,NA,2016-08-01 16:42:47,FALSE,NA,"760153815890927616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Congrats to Professor Sonali Rajan on the 2015 Strage Prize. Check out her video: https://t.co/2jz7z7c7Kk #gunviolence @TeachersCollege",FALSE,1,NA,2016-02-26 20:03:05,FALSE,NA,"703309329445855232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",2,FALSE,FALSE,NA,NA
"@batsinarow Thanks for noticing! As with many items in our toolkit, it magically came from Amazon—and more than a year ago.",FALSE,1,"batsinarow",2016-01-21 17:25:39,FALSE,"690214295867629569","690223746066571265","1312173450","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Sorry about the jackhammering in early September everyone—that was the first stage of our Fourth Floor renovation. We're through the worst!",FALSE,0,NA,2015-09-11 20:29:42,FALSE,NA,"642434866865401856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"And we'll have other ""Serious Comics"" on display in our News Cafe starting on September 18th as well! https://t.co/EqlpcoQB84",FALSE,0,NA,2015-09-11 20:27:49,FALSE,NA,"642434391239733248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",1,FALSE,FALSE,NA,NA
