"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Give your brain a boost with well-timed exercise! #Research #Neuroscience https://t.co/kzKmVZOmPi",FALSE,1,NA,2017-03-10 22:01:42,FALSE,NA,"840321793432928261",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"Want to have fun with #physics? @nysci's free app will get kids jumping, running, and playing in the name of science https://t.co/hOaDPQpvUU",FALSE,0,NA,2017-03-09 18:30:10,FALSE,NA,"839906171574190080",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"More drivers, more distractions â€” what's a town to do to keep its children safe? #roadsafety @BrookhavenInfo https://t.co/ESn2n5BL76",FALSE,1,NA,2017-03-08 22:55:07,FALSE,NA,"839610458868965376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"With internet access comes great #online responsibility, according to the latest #eduresearch  #digitalcitizenship https://t.co/5nziXYxPrI",FALSE,1,NA,2017-03-08 21:25:04,FALSE,NA,"839587798512467969",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"Step aside #drones, Bat Bots may soon become the new face of robotic flight #robotics #vialogues https://t.co/buoKIIkgts",FALSE,0,NA,2017-03-08 19:50:05,FALSE,NA,"839563894586736641",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"More than just a pretty page, a #3D coloring exercise by @quivervision will also quiz you on #science concepts #AR https://t.co/DHyArUs2dV",FALSE,0,NA,2017-03-07 20:00:16,FALSE,NA,"839204069050892290",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"Is our #democracy missing a woman's touch? @VoteRunLead is teaching women how to channel their voting power #civics https://t.co/GzF77UbBlM",FALSE,1,NA,2017-03-07 00:00:20,FALSE,NA,"838902094644068352",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",2,FALSE,FALSE,NA,NA
"Learn about the hurdles that #code schools have yet to overcome with the CEO of @codefellows, @DaveParkerSEA https://t.co/dYKJ8vjfoR",FALSE,0,NA,2017-03-06 22:45:06,FALSE,NA,"838883162163974144",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"We give you a C++ https://t.co/wLrIRphdnv https://t.co/lkxLdNdkzs",FALSE,0,NA,2017-03-04 01:19:59,FALSE,NA,"837834977932902400",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
"Can gaming help students become more cultured? Or should we stick to the traditional museum tour? #gbl #research https://t.co/v121RnvLWn",FALSE,0,NA,2017-03-03 17:09:22,FALSE,NA,"837711509258108928",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLTTC",0,FALSE,FALSE,NA,NA
