"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Read the article: ""Building a Conceptual Framework for Data Literacy""
https://t.co/zTtq59T4Aw",FALSE,0,NA,2017-03-14 16:07:56,FALSE,NA,"841682316900610048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""The Social Foundations Reader: Critical Essays on Teaching Learning, and Leading in the 21st...""… https://t.co/IvM3qaLoLP",FALSE,0,NA,2017-03-13 17:05:21,TRUE,NA,"841334379578314752",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the review: ""The Social Foundations Reader: Critical Essays on Teaching, Learning, and Leading in the 21st...""… https://t.co/9aQtIBUhSU",FALSE,0,NA,2017-03-13 15:45:14,TRUE,NA,"841314215105351680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Pushout: The Criminalization of Black Girls in Schools"" https://t.co/x6JlYkhY3a https://t.co/fKYXivzc5g",FALSE,0,NA,2017-03-10 18:10:23,FALSE,NA,"840263579387465728",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"""In The Classroom, Facts Still Matter: Why Teaching Students to Use Evidence is More Important Than Ever""… https://t.co/98fzvXQuSD",FALSE,1,NA,2017-03-10 15:58:59,TRUE,NA,"840230513994522625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Enhancing Writing Skills"" https://t.co/dnng3KWujw https://t.co/5QCemrfLTH",FALSE,0,NA,2017-03-09 18:10:19,FALSE,NA,"839901176892121088",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the review: ""Teaching Better: Igniting and Sustaining Instructional Improvement"" https://t.co/UaHz1tpn31 https://t.co/NJ3HAk21rA",FALSE,1,NA,2017-03-08 18:10:19,FALSE,NA,"839538788762271744",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",3,FALSE,FALSE,NA,NA
"Read the article: ""Professional Learning for Using Data: Examining Teacher Needs and Supports"" https://t.co/C245UCwmNY",FALSE,4,NA,2017-03-07 23:10:07,FALSE,NA,"839251844966854656",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",4,FALSE,FALSE,NA,NA
"Read the review: ""Work Hard, Be Hard: Journeys Through 'No Excuses' Teaching"" https://t.co/7W7FDXc0nk https://t.co/hPahOYDhZt",FALSE,0,NA,2017-03-07 19:50:05,FALSE,NA,"839201508784754689",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Teach on Purpose! Responsive Teaching for Student Success"" https://t.co/i2qnXL4fAR https://t.co/amyGGKFf2h",FALSE,0,NA,2017-03-06 18:10:23,FALSE,NA,"838814029405642756",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the article: ""Structuring Professional Learning to Develop a Culture of Data Use: Aligning Knowledge From..."" https://t.co/Yc7mLF9jqt",FALSE,0,NA,2017-03-03 20:15:11,FALSE,NA,"837758272409042944",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Advances in Multilevel Modeling for Educational Research: Addressing Practical Issues Found in...… https://t.co/bZDx2ntVRv",FALSE,3,NA,2017-03-03 18:15:29,TRUE,NA,"837728148045299712",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",2,FALSE,FALSE,NA,NA
"Read the article: ""Teaching Educators Habits of Mind for Using Data Wisely"" https://t.co/fjN9I0h0Ir",FALSE,0,NA,2017-03-03 16:55:07,FALSE,NA,"837707925082804224",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the latest commentary: ""CAEP’s Expectations Regarding Validity: A Plea for Professionalism""… https://t.co/slrHIspekO",FALSE,0,NA,2017-03-03 16:37:36,TRUE,NA,"837703516990894081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Literacy and History in Social Action: Immersive Approaches to Disciplinary Thinking, Grades 5–12… https://t.co/2stGpCvxLC",FALSE,1,NA,2017-03-02 18:15:29,TRUE,NA,"837365761270243329",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Educational Opportunity in Rural Contexts: The Policy of Place"" https://t.co/vTdC4sj6mA https://t.co/3msrJXnJLb",FALSE,0,NA,2017-03-01 18:15:40,FALSE,NA,"837003418334085122",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the review: ""The Rising Price of Objectivity: Philanthropy, Government, and the Future of Education Research""… https://t.co/zmtEsl6EFQ",FALSE,0,NA,2017-03-01 00:10:04,TRUE,NA,"836730218832343040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the article: ""Structuring Professional Learning to Develop a Culture of Data Use: Aligning Knowledge From..."" https://t.co/Yc7mLF9jqt",FALSE,1,NA,2017-02-28 23:10:04,FALSE,NA,"836715119035965440",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""The Career Trajectories of English Language Teachers"" https://t.co/uocy9RdR1d https://t.co/MXY3oOUw3O",FALSE,0,NA,2017-02-27 18:10:24,FALSE,NA,"836277316233924608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Knowledge and the Future School: Curriculum and Social Justice"" https://t.co/Wt24kLmc1c https://t.co/G9SVBcPJhQ",FALSE,0,NA,2017-02-25 18:10:17,FALSE,NA,"835552513747267584",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",2,FALSE,FALSE,NA,NA
"Read the review: ""Lesson Plan: An Agenda for Change in American Higher Education"" https://t.co/ZmH3FHgl4N https://t.co/dlHkZOpPI3",FALSE,0,NA,2017-02-24 18:10:18,FALSE,NA,"835190128339451904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the article: ""The Development of Capacity for Data Use: The Role of Teacher Networks in an Elementary School"" https://t.co/JiUIX51fjT",FALSE,2,NA,2017-02-24 17:10:08,FALSE,NA,"835174985840922625",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the latest commentary: ""Bullying Students Who Are Muslim: How Can Teacher Educators Intervene?""… https://t.co/lTNGa0J9hc",FALSE,0,NA,2017-02-24 16:09:19,TRUE,NA,"835159680892735488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the review: ""Data Literacy for Educators: Making it Count in Teacher Preparation and Practice""… https://t.co/7IWbns0eii",FALSE,0,NA,2017-02-23 18:10:27,TRUE,NA,"834827780399460352",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""The Politics of Performance Funding for Higher Education: Origins, Discontinuations, and...""… https://t.co/v7wsPsFrVA",FALSE,0,NA,2017-02-22 20:10:10,TRUE,NA,"834495516763369472",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the article: ""Factors Influencing the Functioning of Data Teams"" https://t.co/tn0TJY3Chp",FALSE,0,NA,2017-02-22 17:05:06,FALSE,NA,"834448946445615105",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
"Read the review: ""Global Migration, Diversity, and Civic Education: Improving Policy and Practice""… https://t.co/8EEWU5O8Vf",FALSE,0,NA,2017-02-20 18:25:13,TRUE,NA,"833744331072819201",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",2,FALSE,FALSE,NA,NA
"Read the latest commentary: ""Responding to the Needs of Our Most Vulnerable Children"" https://t.co/9vPKohSGfJ https://t.co/7qZIaSXwUu",FALSE,2,NA,2017-02-20 13:57:42,FALSE,NA,"833677007904964609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the article: ""Teacher Turnover in High-Poverty Schools: What We Know and Can Do"" https://t.co/cpi2qQEP5e",FALSE,1,NA,2017-02-17 21:25:10,FALSE,NA,"832702452323475456",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",1,FALSE,FALSE,NA,NA
"Read the review: ""'I Love Learning; I Hate School': An Anthropology of College"" https://t.co/Y7NSbMsQhJ https://t.co/mYN6ZgpecI",FALSE,0,NA,2017-02-17 18:10:19,FALSE,NA,"832653419890499584",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TCRecord",0,FALSE,FALSE,NA,NA
